# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  2)   0.251 us    |    os_get_current_tick [nvidia]();
  2)   0.160 us    |    os_get_current_tick [nvidia]();
  2)   0.171 us    |    os_get_current_thread [nvidia]();
  2)   0.471 us    |    os_mem_set [nvidia]();
  2)   0.170 us    |    os_mem_set [nvidia]();
  2)   0.210 us    |    os_mem_set [nvidia]();
  2)   0.171 us    |    os_mem_set [nvidia]();
  2)   0.160 us    |    os_mem_set [nvidia]();
  2)   0.160 us    |    os_mem_set [nvidia]();
  2)   0.170 us    |    os_mem_set [nvidia]();
  2)   0.160 us    |    os_get_current_thread [nvidia]();
  2)   0.200 us    |    os_semaphore_may_sleep [nvidia]();
  2)   0.161 us    |    os_get_current_thread [nvidia]();
  2)   0.150 us    |    os_get_current_thread [nvidia]();
  2)   0.170 us    |    os_acquire_spinlock [nvidia]();
  2)   0.300 us    |    os_get_current_tick [nvidia]();
  2)   0.270 us    |    os_release_spinlock [nvidia]();
  2) + 13.601 us   |    os_release_semaphore [nvidia]();
  2)   0.200 us    |    os_is_isr [nvidia]();
  2)   0.180 us    |    os_get_current_thread [nvidia]();
  2)   0.301 us    |    os_acquire_spinlock [nvidia]();
  2)   0.171 us    |    os_release_spinlock [nvidia]();
  2)   0.160 us    |    os_is_isr [nvidia]();
  2)   0.200 us    |    os_release_mutex [nvidia]();
  2) + 64.457 us   |  }
 ------------------------------------------
  2)  irq/42--1186  =>    <idle>-0   
 ------------------------------------------

  2)               |  nvidia_isr_msix [nvidia]() {
  2)               |    nvidia_isr [nvidia]() {
  2)   0.230 us    |      os_mem_set [nvidia]();
  2)   0.170 us    |      os_is_isr [nvidia]();
  2)   0.200 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.230 us    |      os_get_current_tick [nvidia]();
  2)   0.170 us    |      os_get_current_tick [nvidia]();
  2)   0.180 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)               |      nv_uvm_event_interrupt [nvidia]() {
  2)               |        uvm_isr_top_half_entry [nvidia_uvm]() {
  2)               |          uvm_isr_top_half [nvidia_uvm]() {
  2)   0.390 us    |            uvm_parent_gpu_get_by_uuid_locked [nvidia_uvm]();
  2)   0.942 us    |          }
  2)   1.472 us    |        }
  2)   2.584 us    |      }
  2)   0.181 us    |      os_mem_set [nvidia]();
  2)   0.150 us    |      os_is_isr [nvidia]();
  2)   0.161 us    |      os_get_current_thread [nvidia]();
  2)   0.180 us    |      os_semaphore_may_sleep [nvidia]();
  2)   0.361 us    |      os_acquire_spinlock [nvidia]();
  2)   0.180 us    |      os_release_spinlock [nvidia]();
  2)   0.190 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.161 us    |      os_get_current_tick [nvidia]();
  2)   0.180 us    |      os_get_current_thread [nvidia]();
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.161 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.381 us    |      os_get_current_time [nvidia]();
  2) + 21.692 us   |    }
  2) + 24.027 us   |  }
  2)               |  nvidia_isr_msix [nvidia]() {
  2)               |    nvidia_isr [nvidia]() {
  2)   0.671 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.190 us    |      os_mem_set [nvidia]();
  2)   0.161 us    |      os_get_cpu_number [nvidia]();
  2)   0.220 us    |      os_get_current_tick [nvidia]();
  2)   0.170 us    |      os_get_current_tick [nvidia]();
  2)   0.211 us    |      os_get_current_thread [nvidia]();
  2)   0.161 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)               |      nv_uvm_event_interrupt [nvidia]() {
  2)               |        uvm_isr_top_half_entry [nvidia_uvm]() {
  2)               |          uvm_isr_top_half [nvidia_uvm]() {
  2)   0.310 us    |            uvm_parent_gpu_get_by_uuid_locked [nvidia_uvm]();
  2)   0.861 us    |          }
  2)   1.322 us    |        }
  2)   2.113 us    |      }
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.160 us    |      os_get_current_thread [nvidia]();
  2)   0.181 us    |      os_semaphore_may_sleep [nvidia]();
  2)   0.350 us    |      os_acquire_spinlock [nvidia]();
  2)   0.180 us    |      os_release_spinlock [nvidia]();
  2)   0.191 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.150 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.170 us    |      os_get_cpu_number [nvidia]();
  2)   0.170 us    |      os_is_isr [nvidia]();
  2)   0.370 us    |      os_get_current_time [nvidia]();
  2) + 20.201 us   |    }
  2) + 22.354 us   |  }
  2)               |  nvidia_isr_msix [nvidia]() {
  2)               |    nvidia_isr [nvidia]() {
  2)   0.230 us    |      os_mem_set [nvidia]();
  2)   0.170 us    |      os_is_isr [nvidia]();
  2)   0.220 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.211 us    |      os_get_current_tick [nvidia]();
  2)   0.170 us    |      os_get_current_tick [nvidia]();
  2)   0.180 us    |      os_get_current_thread [nvidia]();
  2)   0.161 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)               |      nv_uvm_event_interrupt [nvidia]() {
  2)               |        uvm_isr_top_half_entry [nvidia_uvm]() {
  2)               |          uvm_isr_top_half [nvidia_uvm]() {
  2)   0.281 us    |            uvm_parent_gpu_get_by_uuid_locked [nvidia_uvm]();
  2)   0.861 us    |          }
  2)   1.332 us    |        }
  2)   7.461 us    |      }
  2)   0.181 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)   0.160 us    |      os_get_current_thread [nvidia]();
  2)   0.180 us    |      os_semaphore_may_sleep [nvidia]();
  2)   0.360 us    |      os_acquire_spinlock [nvidia]();
  2)   0.170 us    |      os_release_spinlock [nvidia]();
  2)   0.180 us    |      os_mem_set [nvidia]();
  2)   0.161 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.161 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.171 us    |      os_is_isr [nvidia]();
  2)   0.400 us    |      os_get_current_time [nvidia]();
  2) + 28.854 us   |    }
  2) + 31.327 us   |  }
  2)               |  nvidia_isr_msix [nvidia]() {
  2)               |    nvidia_isr [nvidia]() {
  2)   0.661 us    |      os_mem_set [nvidia]();
  2)   0.151 us    |      os_is_isr [nvidia]();
  2)   0.210 us    |      os_mem_set [nvidia]();
  2)   0.161 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.151 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_thread [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2)               |      nv_uvm_event_interrupt [nvidia]() {
  2)               |        uvm_isr_top_half_entry [nvidia_uvm]() {
  2)               |          uvm_isr_top_half [nvidia_uvm]() {
  2)   0.261 us    |            uvm_parent_gpu_get_by_uuid_locked [nvidia_uvm]();
  2)   0.631 us    |          }
  2)   0.971 us    |        }
  2)   1.352 us    |      }
